Time(s), X, Y, Z,Gesture
1418395870.899,-664,1368,344,Raise Hand
1418395870.982,-608,1616,288,Raise Hand
1418395871.065,-104,1112,96,Raise Hand
1418395871.148,192,624,-272,Raise Hand
1418395871.231,344,488,-736,Raise Hand
1418395871.565,848,-160,-448,Raise Hand
1418395871.646,1208,296,-576,Scratch Chin
1418395871.729,1000,104,-224,Scratch Chin
1418395871.895,768,-224,-160,Scratch Chin
1418395872.062,1088,264,-288,Scratch Chin
1418395872.145,856,72,-64,Scratch Chin
1418395872.231,664,-328,-280,Scratch Chin
1418395872.311,832,-264,-304,Scratch Chin
1418395872.394,1104,144,-448,Scratch Chin
1418395872.477,992,112,-200,Scratch Chin
1418395872.643,824,-104,-320,Scratch Chin
1418395872.726,760,-48,-584,Scratch Chin
1418395872.813,584,-40,-664,Lower Hand
1418395872.896,544,376,-592,Lower Hand
1418395872.975,392,544,-360,Lower Hand
1418395873.059,96,640,-136,Lower Hand
1418395873.141,-264,848,248,Lower Hand
1418395873.224,-872,1176,664,Lower Hand
1418395873.307,-1152,1320,240,Lower Hand
1418395873.391,-976,736,-376,Lower Hand
1418395873.475,-888,608,-256,Inactive
1418395873.557,-920,496,-152,Inactive
1418395873.640,-896,464,-64,Inactive
1418395873.723,-872,528,-104,Inactive
